grupo_label,DAIOE_medio,hombres_miles,mujeres_miles,total_miles,pct_mujeres,nivel_exposicion
0 Militares,40.01,89.0,14.0,103.0,13.6,Alta
4 Empleados admin.,38.5,687.9,1426.8,2114.7,67.5,Alta
2 Téc. y prof. científicos,37.93,1741.3,2376.7,4118.0,57.7,Alta
3 Téc. y prof. de apoyo,33.88,1512.1,986.6,2498.8,39.5,Alta
1 Directores/gerentes,33.18,564.4,299.4,863.8,34.7,Alta
5 Servicios y vendedores,28.67,1784.0,2705.4,4489.5,60.3,Media/Baja
7 Artesanos manuf./constr.,28.45,2047.0,183.8,2230.8,8.2,Media/Baja
8 Operadores instal./maquinaria,27.67,1404.5,231.5,1636.1,14.1,Media/Baja
9 Ocupaciones elementales,26.12,1043.9,1476.6,2520.5,58.6,Media/Baja
6 Cualific. agric./pesca,26.02,349.1,81.4,430.6,18.9,Media/Baja
