codigo_isco,ocupacion,isco_1digit,gran_grupo,DAIOE_total,DAIOE_genai,ratio_genai
1112,Senior government officials,1,1 Directores/gerentes,31.36,2.9,0.092
1113,Traditional chiefs and heads of villages,1,1 Directores/gerentes,34.53,3.33,0.096
1114,Senior officials of special-interest organizations,1,1 Directores/gerentes,33.86,3.15,0.093
1120,Managing directors and chief executives,1,1 Directores/gerentes,32.33,2.99,0.093
1211,Finance managers,1,1 Directores/gerentes,38.51,3.6,0.093
1212,Human resource managers,1,1 Directores/gerentes,34.89,3.38,0.097
1213,Policy and planning managers,1,1 Directores/gerentes,36.05,3.27,0.091
1219,Business services and administration managers not elsewhere classified,1,1 Directores/gerentes,33.18,3.0,0.09
1221,Sales and marketing managers,1,1 Directores/gerentes,34.08,3.3,0.097
1222,Advertising and public relations managers,1,1 Directores/gerentes,36.31,3.54,0.097
1223,Research and development managers,1,1 Directores/gerentes,38.3,3.53,0.092
1311,Agricultural and forestry production managers,1,1 Directores/gerentes,28.8,2.18,0.076
1312,Aquaculture and fisheries production managers,1,1 Directores/gerentes,28.8,2.18,0.076
1321,Manufacturing managers,1,1 Directores/gerentes,31.57,2.55,0.081
1322,Mining managers,1,1 Directores/gerentes,36.05,3.27,0.091
1323,Construction managers,1,1 Directores/gerentes,34.83,3.07,0.088
1324,"Supply, distribution and related managers",1,1 Directores/gerentes,34.84,3.15,0.09
1330,Information and communications technology service managers,1,1 Directores/gerentes,37.66,3.47,0.092
1341,Child care services managers,1,1 Directores/gerentes,33.23,3.06,0.092
1342,Health services managers,1,1 Directores/gerentes,33.6,3.11,0.093
1343,Aged care services managers,1,1 Directores/gerentes,31.87,2.89,0.091
1344,Social welfare managers,1,1 Directores/gerentes,28.51,2.6,0.091
1345,Education managers,1,1 Directores/gerentes,31.74,2.99,0.094
1346,Financial and insurance services branch managers,1,1 Directores/gerentes,34.32,3.13,0.091
1349,Professional services managers not elsewhere classified,1,1 Directores/gerentes,36.05,3.27,0.091
1411,Hotel managers,1,1 Directores/gerentes,25.33,2.17,0.086
1412,Restaurant managers,1,1 Directores/gerentes,26.04,2.0,0.077
1420,Retail and wholesale trade managers,1,1 Directores/gerentes,30.14,2.66,0.088
1431,"Sports, recreation and cultural centre managers",1,1 Directores/gerentes,32.54,2.84,0.087
1439,Services managers not elsewhere classified,1,1 Directores/gerentes,36.05,3.27,0.091
2111,Physicists and astronomers,2,2 Téc. y prof. científicos,43.48,4.28,0.098
2112,Meteorologists,2,2 Téc. y prof. científicos,44.17,4.19,0.095
2113,Chemists,2,2 Téc. y prof. científicos,41.23,3.62,0.088
2114,Geologists and geophysicists,2,2 Téc. y prof. científicos,39.77,3.53,0.089
2120,"Mathematicians, actuaries and statisticians",2,2 Téc. y prof. científicos,47.72,4.69,0.098
2131,"Biologists, botanists, zoologists and related professionals",2,2 Téc. y prof. científicos,39.45,3.55,0.09
2132,"Farming, forestry and fisheries advisers",2,2 Téc. y prof. científicos,33.32,2.9,0.087
2133,Environmental protection professionals,2,2 Téc. y prof. científicos,35.2,3.08,0.087
2141,Industrial and production engineers,2,2 Téc. y prof. científicos,41.7,3.82,0.091
2142,Civil engineers,2,2 Téc. y prof. científicos,42.41,3.99,0.094
2143,Environmental engineers,2,2 Téc. y prof. científicos,41.41,3.93,0.095
2144,Mechanical engineers,2,2 Téc. y prof. científicos,41.34,3.77,0.091
2145,Chemical engineers,2,2 Téc. y prof. científicos,45.35,4.29,0.095
2146,"Mining engineers, metallurgists and related professionals",2,2 Téc. y prof. científicos,43.1,4.0,0.093
2149,Engineering professionals not elsewhere classified,2,2 Téc. y prof. científicos,41.68,3.8,0.091
2151,Electrical engineers,2,2 Téc. y prof. científicos,43.36,3.98,0.092
2152,Electronics engineers,2,2 Téc. y prof. científicos,43.02,3.85,0.09
2153,Telecommunications engineers,2,2 Téc. y prof. científicos,38.89,3.36,0.086
2161,Building architects,2,2 Téc. y prof. científicos,39.09,3.71,0.095
2162,Landscape architects,2,2 Téc. y prof. científicos,38.78,3.75,0.097
2163,Product and garment designers,2,2 Téc. y prof. científicos,39.17,3.67,0.094
2164,Town and traffic planners,2,2 Téc. y prof. científicos,39.19,3.78,0.096
2165,Cartographers and surveyors,2,2 Téc. y prof. científicos,38.65,3.22,0.083
2166,Graphic and multimedia designers,2,2 Téc. y prof. científicos,41.69,3.9,0.094
2211,Generalist medical practitioners ,2,2 Téc. y prof. científicos,35.59,3.0,0.084
2212,Specialist medical practitioners ,2,2 Téc. y prof. científicos,30.18,2.42,0.08
2221,Nursing professionals,2,2 Téc. y prof. científicos,27.68,2.16,0.078
2222,Midwifery professionals,2,2 Téc. y prof. científicos,29.59,2.33,0.079
2230,Traditional and complementary medicine professionals,2,2 Téc. y prof. científicos,36.55,3.02,0.083
2240,Paramedical practitioners,2,2 Téc. y prof. científicos,29.45,2.23,0.076
2250,Veterinarians,2,2 Téc. y prof. científicos,29.76,2.18,0.073
2261,Dentists,2,2 Téc. y prof. científicos,28.31,2.05,0.072
2262,Pharmacists,2,2 Téc. y prof. científicos,31.93,2.7,0.085
2263,Environmental and occupational health and hygiene professionals,2,2 Téc. y prof. científicos,34.78,2.96,0.085
2264,Physiotherapists ,2,2 Téc. y prof. científicos,27.09,2.22,0.082
2265,Dieticians and nutritionists,2,2 Téc. y prof. científicos,33.06,3.18,0.096
2266,Audiologists and speech therapists,2,2 Téc. y prof. científicos,34.16,2.78,0.081
2267,Optometrists and ophthalmic opticians,2,2 Téc. y prof. científicos,34.92,2.68,0.077
2269,Health professionals not elsewhere classified,2,2 Téc. y prof. científicos,33.42,2.83,0.085
2310,University and higher education teachers,2,2 Téc. y prof. científicos,38.46,3.71,0.096
2320,Vocational education teachers,2,2 Téc. y prof. científicos,29.69,2.49,0.084
2330,Secondary education teachers,2,2 Téc. y prof. científicos,35.45,3.27,0.092
2341,Primary school teachers,2,2 Téc. y prof. científicos,35.21,3.28,0.093
2342,Early childhood educators,2,2 Téc. y prof. científicos,32.5,2.89,0.089
2351,Education methods specialists,2,2 Téc. y prof. científicos,36.33,3.53,0.097
2352,Special needs teachers,2,2 Téc. y prof. científicos,30.31,2.7,0.089
2353,Other language teachers,2,2 Téc. y prof. científicos,35.99,3.29,0.091
2354,Other music teachers,2,2 Téc. y prof. científicos,33.61,2.88,0.086
2355,Other arts teachers,2,2 Téc. y prof. científicos,35.29,3.18,0.09
2356,Information technology trainers,2,2 Téc. y prof. científicos,33.21,3.19,0.096
